StationID,Average_NSE,Pct_Glaciation
05AA004,0.6310045907991083,0.0
05AA008,0.7070068916717757,0.0
05AA022,0.7262841882458879,0.0
05AA028,0.7089396508378293,0.0
05AB005,-3.5319542042138425,0.0
05AB029,-1.0388856310608254,0.0
05AD003,0.6907031921377147,0.559034632297735
05AD035,-1.4609978088425724,0.0
05AE005,-0.2733594596210447,0.0
05AH037,-56.018319537578925,0.0
05AH041,-4.3919155243108206,0.0
05BB001,0.7814107740692391,2.689520958008761
05BG006,0.28641362484231764,0.0
05BJ004,0.751123832996412,0.0
05BK001,-0.1677376052418212,0.0
05BL013,0.5731103710433998,0.0
05BL014,-0.17049467174149677,0.0
05BL019,0.7854132920323952,0.0
05BL022,-0.061016786256517665,0.0
05BL023,0.5056384231467299,0.0
05BM014,-0.45873665273639946,0.0
05CA002,0.5803985259520003,0.0
05CA009,0.6175803695656109,0.827998250894365
05CB001,-0.009153044617747389,0.0
05CB002,-0.2020766609241211,0.0
05CB004,0.43949518379864116,0.0
05CC001,0.001326458998469097,0.0
05CC007,0.30282796033375653,0.0
05CC010,-0.07539374303908364,0.0
05CD006,-2.0273824915981704,0.0
05CE006,-3.773431046982944,0.0
05CE010,-0.5862887424204329,0.0
05CE011,-1.9450489128665762,0.0
05CE018,-0.008143253660088057,0.0
05CG004,-104.92103930423025,0.0
05CK001,-7754.038240667112,0.0
05CK005,-0.8325242718126932,0.0
05DA007,0.889615647348629,10.792561842703924
05DA009,0.9112573525582152,15.164516896790024
05DA010,0.7519246186472893,11.04949813905102
05DB002,0.5144854375742715,0.0
05DB005,0.5261562788274948,0.0
05DB006,0.6901459545057479,0.484300190950307
05DC006,0.6508922126929287,0.0
05DD009,0.5810994974938097,0.0
05DE007,0.013546621573385154,0.0
05DF007,-435.9949965671911,0.0
05EA005,-68.30575898250802,0.0
05EC005,-125.2959385948289,0.0
05ED002,-0.294829628519451,0.0
05EE005,-7.7931259813344065,0.0
05EE006,0.036807905636917826,0.0
05FA001,-2.498495051936239,0.0
05FB002,0.32573576031648627,0.0
05FC002,-219.92281079171997,0.0
05FE002,0.33528489258378763,0.0
07AA001,0.6187069318792271,0.60087547771022
07AA002,0.8976516420634838,7.80540391953115
07AD002,0.8784458608653333,3.770398954989636
07AE001,0.7942614221041171,1.88651747081784
07AF002,0.6280542348711761,0.0
07AF010,-0.037840136787024616,0.0
07AG004,0.5934822062192157,0.0
07AH001,0.1283700516373215,0.0
07AH002,-2.277451739842464,0.0
07AH003,0.48943272934433163,0.0
07BB002,0.597695271031757,0.0
07BB005,-109.210784414705,0.0
07BC002,0.1492800837859604,0.0
07BC007,-5.303036672876037,0.0
07BE001,0.5588064136402481,0.496057048139318
07BF001,0.4255055917133987,0.0
07BF002,-0.17318994768690268,0.0
07BJ001,0.47634328301243634,0.0
07BJ003,0.3542815421457243,0.0
07BK005,-0.06594182514607898,0.0
07BK007,0.5686918568342492,0.0
07BK009,0.4732064472634698,0.0
07CD001,0.7118675787052662,0.0
07CD005,0.5154755331227215,0.0
07DA001,0.40460906411364356,2.791601714677534
07DA008,0.5778462716059088,0.0
07DA018,0.40520155998436275,0.0
07DB001,0.504537758636702,0.0
07DC001,0.6533833153791697,0.0
07FD006,-0.9282290033791624,0.0
07FD011,-576.7282287597559,0.0
07FD013,-0.9678069999632278,0.0
07GA001,0.7623263462414398,2.834160123301599
07GD001,-0.13780418209026193,0.0
07GE003,-1.805453944222869,0.0
07GF001,0.2705470549559901,0.0
07GG001,0.24849926016365279,0.0
07GG002,0.46770439692798965,0.0
07GG003,0.34201324852881393,0.0
07GH002,-0.017520887183236966,0.0
07GJ001,0.5670615288572833,0.234945321107029
07HA003,-36.93611586745462,0.0
07HA005,-0.12051142796282033,0.0
07HC001,0.46576089081552774,0.0
07HF002,0.5321365072428603,0.0
07JC001,-0.5010483550336521,0.0
07JD002,0.0028656571336391026,0.0
07JD003,0.39094142792842157,0.0
07JF002,0.4541204800862892,0.0
07KE001,0.6697965715620003,0.0
07OA001,0.44885293384513963,0.0
07OB003,0.7463259178772788,0.0
07OB004,0.4750615677533581,0.0
07OB006,0.3256381863718323,0.0
07OC001,0.6054972515042135,0.0
